country,sheet,first_year_proj,source_label,source_file
Cabo Verde_CPV,CPV_EBS.23.127_Ext_Debt_Data,2023,Input 1 - Basics!C18,"CPV_EBS.23.127, Sup. 1.xlsm"
Cabo Verde_CPV,CPV_EBS.23.63_Ext_Debt_Data,2023,Input 1 - Basics!C18,"CPV_EBS.23.63, Sup.1.xlsm"
Cabo Verde_CPV,CPV_SM.18.60_Inp_Out_Debt,2017,Output - Submit!C9,"CPV_SM.18.60, Sup. 1.xlsm"
Cambodia_KHM,KHM_SM.18.264_Ext_Debt_Data,2018,Input 1 - Basics!C18,"KHM_SM.18.264, Sup. 2.xlsm"
Cambodia_KHM,KHM_SM.19.263_Ext_Debt_Data,2019,Input 1 - Basics!C18,"KHM_SM.19.263, Sup. 1.xlsm"
Cambodia_KHM,KHM_SM.21.193_Ext_Debt_Data,2021,Input 1 - Basics!C18,"KHM_SM.21.193, Sup. 2.xlsm"
Cambodia_KHM,KHM_SM.22.253_Ext_Debt_Data,2022,Input 1 - Basics!C18,"KHM_SM.22.253, Sup. 2.xlsm"
Cambodia_KHM,KHM_SM.23.268_Ext_Debt_Data,2023,Input 1 - Basics!C18,"KHM_SM.23.268, Sup. 1.xlsm"
Cameroon_CMR,CMR_EBS.18.116_Ext_Debt_Data,2018,Input 1 - Basics!C18,"CMR_EBS.18.116, Sup. 1.XLSM"
Cameroon_CMR,CMR_EBS.18.64_Inp_Out_Debt,2018,Output - Submit!C9,"CMR_EBS.18.64, Sup. 2.xlsm"
Cameroon_CMR,CMR_EBS.20.1_Ext_Debt_Data,2019,Input 1 - Basics!C18,"CMR_EBS.20.1, Sup. 1.xlsm"
Cameroon_CMR,CMR_EBS.20.154_Ext_Debt_Data,2020,Input 1 - Basics!C18,CMR_EBS.20.154.xlsm
Cameroon_CMR,CMR_EBS.20.82_Ext_Debt_Data,2019,Input 1 - Basics!C18,"CMR_EBS.20.82, Sup. 1.xlsm"
Cameroon_CMR,CMR_EBS.21.72_Ext_Debt_Data,2021,Input 1 - Basics!C18,"CMR_EBS.21.72,Sup. 1.xlsm"
Cameroon_CMR,CMR_EBS.22.66_Ext_Debt_Data,2022,Input 1 - Basics!C18,CMR_EBS.22.66.Sup. 1.xlsm
Cameroon_CMR,CMR_EBS.22.7_Ext_Debt_Data,2021,Input 1 - Basics!C18,"CMR_EBS.22.7, Sup. 1.xlsm"
Cameroon_CMR,CMR_EBS.23.149_Ext_Debt_Data,2023,Input 1 - Basics!C18,"CMR_EBS.23.149, Sup. 1.xlsm"
Cameroon_CMR,CMR_EBS.23.16_Ext_Debt_Data,2022,Input 1 - Basics!C18,"CMR_EBS.23.16, Sup. 1.xlsm"
Cameroon_CMR,CMR_EBS.24.4_Ext_Debt_Data,2023,Input 1 - Basics!C18,"CMR_EBS.24.4, Sup. 1.xlsm"
Central African Republic_CAF,CAF _EBS.19.57_Ext_Debt_Data,2019,Input 1 - Basics!C18,"CAF _EBS.19.57, Sup. 1.xlsm"
Central African Republic_CAF,CAF_EBS.18.58_Inp_Out_Debt,2018,Output - Submit!C9,"CAF_EBS.18.58, Sup. 1.xlsm"
Central African Republic_CAF,CAF_EBS.19.121_Ext_Debt_Data,2019,Input 1 - Basics!C18,"CAF_EBS.19.121, Sup. 1.xlsm"
Central African Republic_CAF,CAF_EBS.20.198_Ext_Debt_Data,2020,Input 1 - Basics!C18,"CAF_EBS.20.198, Sup. 1.xlsm"
Central African Republic_CAF,CAF_EBS.20.59_Ext_Debt_Data,2020,Input 1 - Basics!C18,"CAF_EBS.20.59, Sup. 1.xlsm"
Central African Republic_CAF,CAF_EBS.23.108_Ext_Debt_Data,2022,Input 1 - Basics!C18,"CAF_EBS.23.108, Sup. 1.xlsm"
Central African Republic_CAF,CAF_EBS.23.42_Ext_Debt_Data,2022,Input 1 - Basics!C18,"CAF_EBS.23.42, Sup. 2.xlsm"
Chad_TCD,TCD_EBS.18.122_Ext_Debt_Data,2018,Input 1 - Basics!C18,"TCD_EBS.18.122, Sup. 1.xlsm"
Chad_TCD,TCD_EBS.18.24_Inp_Out_Debt,2017,PV Stress!D3,"TCD_EBS.18.24,Sup. 1.xlsm"
Chad_TCD,TCD_EBS.18.70_Inp_Out_Debt,2017,PV Stress!D3,"TCD_EBS.18.70, Sup. 1.xlsm"
Chad_TCD,TCD_EBS.19.60_Ext_Debt_Data,2019,Output - Submit!C9,"TCD_EBS.19.60, Sup. 1.XLSM"
Chad_TCD,TCD_EBS.20.123_Ext_Debt_Data,2020,Output - Submit!C9,"TCD_EBS.20.123, Sup.1.xlsm"
Chad_TCD,TCD_EBS.20.49_Ext_Debt_Data,2020,Output - Submit!C9,"TCD_EBS.20.49, Sup. 1.xlsm"
Chad_TCD,TCD_EBS.21.105_Ext_Debt_Data,2021,Output - Submit!C9,"TCD_EBS.21.105,Sup. 1.xlsm"
Chad_TCD,TCD_EBS.22.118_Ext_Debt_Data,2022,Input 1 - Basics!C18,"TCD_EBS.22.118, Sup. 1.xlsm"
Comoros_COM,COM_EBS.19.2_Ext_Debt_Data,2018,Input 1 - Basics!C18,COM_EBS.19.2.xlsm
Comoros_COM,COM_EBS.19.75_Ext_Debt_Data,2019,Input 1 - Basics!C18,"COM_EBS.19.75, Sup. 1.xlsm"
Comoros_COM,COM_EBS.20.65_Ext_Debt_Data,2019,Input 1 - Basics!C18,COM_EBS.20.65.xlsm
Comoros_COM,COM_EBS.21.91_Ext_Debt_Data,2021,Input 1 - Basics!C18,"COM_EBS.21.91, Sup. 1.xlsm"
Comoros_COM,COM_EBS.23.135_Ext_Debt_Data,2023,Input 1 - Basics!C18,"COM_EBS.23.135, Sup. 2.xlsm"
Comoros_COM,COM_EBS.23.52_Ext_Debt_Data,2023,Input 1 - Basics!C18,"COM_EBS.23.52, Sup. 1.xlsm"
Comoros_COM,COM_SM.18.128_Inp_Out_Debt,2018,Output - Submit!C9,COM_SM.18.128.xlsm
Comoros_COM,COM_SM.20.60_Ext_Debt_Data,2019,Input 1 - Basics!C18,COM_SM.20.60.xlsm
Congo DR_COD,COD_EBS.19.115_Ext_Debt_Data,2019,Input 1 - Basics!C18,"COD_EBS.19.115, Sup. 1.xlsm"
Congo DR_COD,COD_EBS.20.64_Ext_Debt_Data,2019,Input 1 - Basics!C18,"COD_EBS.20.64, Sup. 1_SMPpluscovid.xlsm"
Congo DR_COD,COD_EBS.21.109_Ext_Debt_Data,2021,Input 1 - Basics!C18,"COD_EBS.21.109, Sup. 1_UP.xlsm"
Congo DR_COD,COD_EBS.21.66_Ext_Debt_Data,2020,Input 1 - Basics!C18,"COD_EBS.21.66, Sup. 1_UP.xlsm"
Congo DR_COD,COD_EBS.23.69_Ext_Debt_Data,2023,Input 1 - Basics!C18,COD_EBS.23.69_Sup. 1.xlsm
Congo DR_COD,COD_SM.19.204_Ext_Debt_Data,2019,Input 1 - Basics!C18,"COD_SM.19.204, Sup. 2.xlsm"
Congo Republic of_COG,COG_EBS.18.75_Inp_Out_Debt,2018,Output - Submit!C9,COG_EBS.18.75.xlsm
