country,source_file,status,detail
Cameroon_CMR,"CMR_EBS.22.7, Sup. 1.xlsm",OK,CMR_EBS.22.7_Ext_Debt_Data
Cameroon_CMR,"CMR_EBS.23.149, Sup. 1.xlsm",OK,CMR_EBS.23.149_Ext_Debt_Data
Cameroon_CMR,"CMR_EBS.23.16, Sup. 1.xlsm",OK,CMR_EBS.23.16_Ext_Debt_Data
Cameroon_CMR,"CMR_EBS.24.4, Sup. 1.xlsm",OK,CMR_EBS.24.4_Ext_Debt_Data
Central African Republic_CAF,"CAF _EBS.19.57, Sup. 1.xlsm",OK,CAF _EBS.19.57_Ext_Debt_Data
Central African Republic_CAF,"CAF_EBS.18.58, Sup. 1.xlsm",OK,CAF_EBS.18.58_Inp_Out_Debt
Central African Republic_CAF,"CAF_EBS.19.121, Sup. 1.xlsm",OK,CAF_EBS.19.121_Ext_Debt_Data
Central African Republic_CAF,"CAF_EBS.20.198, Sup. 1.xlsm",OK,CAF_EBS.20.198_Ext_Debt_Data
Central African Republic_CAF,"CAF_EBS.20.59, Sup. 1.xlsm",OK,CAF_EBS.20.59_Ext_Debt_Data
Central African Republic_CAF,"CAF_EBS.23.108, Sup. 1.xlsm",OK,CAF_EBS.23.108_Ext_Debt_Data
Central African Republic_CAF,"CAF_EBS.23.42, Sup. 2.xlsm",OK,CAF_EBS.23.42_Ext_Debt_Data
Chad_TCD,"TCD_EBS.18.122, Sup. 1.xlsm",OK,TCD_EBS.18.122_Ext_Debt_Data
Chad_TCD,"TCD_EBS.18.24,Sup. 1.xlsm",OK,TCD_EBS.18.24_Inp_Out_Debt
Chad_TCD,"TCD_EBS.18.70, Sup. 1.xlsm",OK,TCD_EBS.18.70_Inp_Out_Debt
Chad_TCD,"TCD_EBS.19.60, Sup. 1.XLSM",OK,TCD_EBS.19.60_Ext_Debt_Data
Chad_TCD,"TCD_EBS.20.123, Sup.1.xlsm",OK,TCD_EBS.20.123_Ext_Debt_Data
Chad_TCD,"TCD_EBS.20.49, Sup. 1.xlsm",OK,TCD_EBS.20.49_Ext_Debt_Data
Chad_TCD,"TCD_EBS.21.105,Sup. 1.xlsm",OK,TCD_EBS.21.105_Ext_Debt_Data
Chad_TCD,"TCD_EBS.22.118, Sup. 1.xlsm",OK,TCD_EBS.22.118_Ext_Debt_Data
Comoros_COM,COM_EBS.19.2.xlsm,OK,COM_EBS.19.2_Ext_Debt_Data
Comoros_COM,"COM_EBS.19.75, Sup. 1.xlsm",OK,COM_EBS.19.75_Ext_Debt_Data
Comoros_COM,COM_EBS.20.65.xlsm,OK,COM_EBS.20.65_Ext_Debt_Data
Comoros_COM,"COM_EBS.21.91, Sup. 1.xlsm",OK,COM_EBS.21.91_Ext_Debt_Data
Comoros_COM,"COM_EBS.23.135, Sup. 2.xlsm",OK,COM_EBS.23.135_Ext_Debt_Data
Comoros_COM,"COM_EBS.23.52, Sup. 1.xlsm",OK,COM_EBS.23.52_Ext_Debt_Data
Comoros_COM,COM_SM.18.128.xlsm,OK,COM_SM.18.128_Inp_Out_Debt
Comoros_COM,COM_SM.20.60.xlsm,OK,COM_SM.20.60_Ext_Debt_Data
Congo DR_COD,"COD_EBS.19.115, Sup. 1.xlsm",OK,COD_EBS.19.115_Ext_Debt_Data
Congo DR_COD,"COD_EBS.20.64, Sup. 1_SMPpluscovid.xlsm",OK,COD_EBS.20.64_Ext_Debt_Data
Congo DR_COD,"COD_EBS.21.109, Sup. 1_UP.xlsm",OK,COD_EBS.21.109_Ext_Debt_Data
Congo DR_COD,"COD_EBS.21.66, Sup. 1_UP.xlsm",OK,COD_EBS.21.66_Ext_Debt_Data
Congo DR_COD,COD_EBS.23.69_Sup. 1.xlsm,OK,COD_EBS.23.69_Ext_Debt_Data
Congo DR_COD,"COD_SM.19.204, Sup. 2.xlsm",OK,COD_SM.19.204_Ext_Debt_Data
Congo Republic of_COG,COG_EBS.18.75.xlsm,OK,COG_EBS.18.75_Inp_Out_Debt
Congo Republic of_COG,"COG_EBS.19.64, Sup. 1.xlsm",OK,COG_EBS.19.64_Ext_Debt_Data
Congo Republic of_COG,"COG_EBS.22.1, Sup. 1.xlsm",OK,COG_EBS.22.1_Ext_Debt_Data
Congo Republic of_COG,"COG_EBS.22.50, Sup. 1.xlsm",OK,COG_EBS.22.50_Ext_Debt_Data
Congo Republic of_COG,"COG_EBS.23.11, Sup. 1.xlsm",OK,COG_EBS.23.11_Ext_Debt_Data
Congo Republic of_COG,"COG_EBS.23.145, Sup. 1.xlsm",OK,COG_EBS.23.145_Ext_Debt_Data
Congo Republic of_COG,COG_EBS.23.85_Sup. 1.xlsm,OK,COG_EBS.23.85_Ext_Debt_Data
Congo Republic of_COG,"COG_SM.20.1, Sup. 1.xlsm",OK,COG_SM.20.1_Ext_Debt_Data
Congo Republic of_COG,"COG_SM.21.165, Sup. 1.xlsm",OK,COG_SM.21.165_Ext_Debt_Data
Cote d'lvoire_CIV,"CIV_EBS.18.110, Sup. 1.xlsm",OK,CIV_EBS.18.110_Ext_Debt_Data
